Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Basin,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Production_short_tons,Average_Employees,Labor_Hours
2010,103335,Thompson South Mine,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"M&b Excavating Co., Inc., Llc","1001 Heflin Avenue West, Birmingham, AL 35214",,103,1,30
2010,103381,Tacoa Highwall Miner,Alabama,Bibb,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Tacoa Minerals,llc","1669 Mission Hills Road, Alabaster, AL 35007",,127564,13,33241
2010,100787,Rosa Mine,Alabama,Blount,Appalachia Southern,"Active, men working, not producing",Surface,Indepedent Producer Operator,Preparation Plant,Mcoal Corporation,"P.O. Box 1056, Oneonta, AL 35121",,0,16,35020
2010,103404,Reid School Mine,Alabama,Blount,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Taft Coal Sales & Associates,","107 N. Walston Bridge Road, Jasper, AL 35504",,148994,32,76025
2010,103117,"Mine #2, #3, #4",Alabama,Cullman,Appalachia Southern,Temporarily closed,Surface,Operating Subsidiary,Mine only,"Evergreen Mining, Llc","74 Indutrial Parkway, Jasper, AL 35001",,69035,17,34365
2010,100759,North River #1 Underground Min,Alabama,Fayette,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Chevron Mining Inc,"3114 County Road 63 S, Berry, AL 35546",United Mine Workers of America,3037170,372,816059
2010,103246,Bear Creek,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Birmingham Coal & Coke Co., In","912 Edenton Street, Birmingham, AL 35242",,39301,15,12879
2010,103374,Meredyth Mine,Alabama,Franklin,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1810 Birmingham Ave. Ste #101, Jasper, AL 35501",,70229,15,31170
2010,102933,Mine No 2,Alabama,Jackson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Gtm Energy Partners, Llc","440 County Road 464, Flat Rock, AL 35966",,33623,7,13096
2010,100329,Concord Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Preparation Plant,Oak Grove Resources Llc,"8800 Oak Grove Mine Road, Adger, AL 35006",United Mine Workers of America,0,36,107305
2010,100851,Oak Grove Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine only,Oak Grove Resources Llc,"8800 Oak Grove Mine Rd, Adger, AL 35006",United Mine Workers of America,925504,389,907127
2010,102354,Lindbergh,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,C & H Mining Company Inc,"3699 Industrial Parkway, Jasper, AL 35502",,281686,42,123228
2010,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"8488 Nancy Ann Bend Road, Adger, AL 35006",United Mine Workers of America,0,1,992
2010,102901,Shoal Creek Mine,Alabama,Jefferson,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine and Preparation Plant,Drummond Company Inc,"8488 Nancy Ann Bend Road, Adger, AL 35006",United Mine Workers of America,1680463,601,1363384
2010,102951,Majestic Mine No. 2,Alabama,Jefferson,Appalachia Southern,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,R J R Mining Company Inc,"P.O. Box 1253, Cullman, AL 35056",,54710,7,15428
2010,103150,Littleton Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,"Evergreen Mining, Llc","74 Industrial Parkway, Jasper, AL 35501",,1507,5,944
2010,103180,Sloan Mountain Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"M S & R Equipment Company, Inc","2600 Warrior Jasper Road, Warrior, AL 35180",,327895,59,122364
2010,103278,Cef Alabama #3,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine and Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 60, Adger, AL 35006",,60226,16,32121
2010,103285,Narley Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,Best Coal Inc,"P.O. Box 1253, Cullman, AL 35056",,136210,23,58920
2010,103332,Powhatan Mine,Alabama,Jefferson,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Rac Mining Llc,"378 Old Dora Road, Sumiton, AL 35148",,81781,27,60373
2010,103375,Johnson Mine,Alabama,Jefferson,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Cahaba Resources Llc,"P.O. Box 122, Vance, AL 35490",,94209,22,50269
2010,103393,Buttahatchee Mine No 1,Alabama,Marion,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"National Coal Of Alabama, Inc","1401 Doug Baker Blvd 107-181, Birmingham, AL 35242",,79174,18,41222
2010,102976,Piney Woods Preparation Plant,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,0,11,28338
2010,102976,Piney Woods Preparation Plant,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,0,7,18117
2010,103205,Alliance Mine No 1,Alabama,Shelby,Appalachia Southern,Temporarily closed,Surface,Indepedent Producer Operator,Mine only,Hope Coal Company Inc,"1401 Doug Baker Blvd, Suite 10, Birmingham, AL 35242",,22795,13,13233
2010,103245,Thompson Mine No 1,Alabama,Shelby,Appalachia Southern,"Active, men working, not producing",Underground,Indepedent Producer Operator,Mine only,"Tacoa Minerals, Llc","1669 Mission Hills Road, Alabaster, AL 35007",,71336,30,69845
2010,103380,Calera,Alabama,Shelby,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Dist.,"P.O. Box 11637, Daytona Beach, FL 32120",,0,8,16271
2010,103380,Calera,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Preparation Plant,Conrad Yelvington Dist.,"P.O. Box 11637, Daytona Beach, FL 32120",,0,8,16271
2010,103417,Yeshic Mine,Alabama,Shelby,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Yeshic, Llc","74 Industrial Parkway, Jasper, AL 35501",,216050,46,91248
2010,103422,Clark No 1 Mine,Alabama,Shelby,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,Tacoa Minerals Llc,"1669 Mission Hills Road, Alabaster, AL 35117",,12819,24,55853
2010,100563,Greenfuels Processing Plant,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Fuels No 5 Llc,"P.O. Box 457, Brookwood, AL 35444",,0,14,30780
2010,101247,No 4 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"3000 Riverchase Galleria Suite, Birmingham, AL 35244",United Mine Workers of America,2797422,692,1647840
2010,101401,No 7 Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Jim Walter Resources Inc,"3000 Riverchase Galleria Suite, Birmingham, AL 35236",United Mine Workers of America,3870330,776,1918923
2010,103172,"Searles Mine No. 2, 3, 4, 5 &",Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Southland Resources, Inc.","P.O. Box 770, Cottondale, AL 35453",,500184,84,228797
2010,103179,Fleetwood Mine No 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,73062,15,39519
2010,103196,East Brookwood Mine,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Tuscaloosa Resources Inc,"3500 35th Avenue North, Birmingham, AL 35207",,491194,89,217410
2010,103303,"Shannon Mine, No. 2, No. 3",Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Operating Subsidiary,Mine only,"Shannon, Llc","74 Industrial Parkway, Jasper, AL 35501",,690958,85,242496
2010,103362,Cef Alabama #4,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels Lc,"P.O. Box 157, Brookwood, AL 35444",,0,18,45295
2010,103365,Cef Alabama #5,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Covol Engineered Fuels Lc,"13108 Covol #5 Plant Road, Brookwood, AL 35444",,0,20,46160
2010,103390,Highway 59 Mine No. 1,Alabama,Tuscaloosa,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,"Tuscaloosa Resources, Inc","3500 35th Ave. North, Birmingham, AL 35207",,205130,32,84073
2010,100347,Choctaw Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine and Preparation Plant,Taft Coal Sales & Associates I,"107 N. Walston Bridge Road, Jasper, AL 35504",,654184,100,291039
2010,101362,Manchester Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Black Warrior Minerals Inc,"P.O. Box 1190, Sumiton, AL 35148",,202497,36,97414
2010,102996,Jap Creek Mine,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Reed Minerals Inc,"3699 Industrial Pkwy/P.O. Box, Jasper, AL 35502",,256410,43,121495
2010,103002,Corinth Mine,Alabama,Walker,Appalachia Southern,Active,Underground,Indepedent Producer Operator,Mine only,Warrior Investment Co Inc,"218 Hwy 195 N, Jasper, AL 35503",,118348,26,65958
2010,103019,Surface Mine #1,Alabama,Walker,Appalachia Southern,Active,Surface,Indepedent Producer Operator,Mine only,Drummond Company Inc,"3000 Highway 78 West, Jasper, AL 35501",United Mine Workers of America,207612,30,85695
